PPO,Simple,DDPG
1.108475923538208,1.0481860637664795,0.1386134624481201
2.2944955825805664,1.0464942455291748,0.1378912925720214
1.4864482879638672,1.05167818069458,0.1385507583618164
1.0903451442718506,1.0407049655914309,0.1381890773773193
1.0885794162750244,1.7382152080535889,0.1380097866058349
1.0762882232666016,1.5786705017089844,0.1373639106750488
1.3270814418792725,2.5814337730407715,0.138962984085083
1.815327882766724,1.3939220905303955,0.1383581161499023
2.1336026191711426,1.0905864238739014,0.13847017288208
1.2082743644714355,1.832804203033448,0.13882827758789062
